"MacroTrends Data Download"
"ATVI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-10-05,0.4203,0.4203,0.3655,0.3655,7596
1994-10-06,0.3655,0.3655,0.3655,0.3655,0
1994-10-07,0.4021,0.4021,0.4021,0.4021,11604
1994-10-10,0.4021,0.4021,0.4021,0.4021,0
1994-10-11,0.4021,0.4021,0.4021,0.4021,0
1994-10-12,0.4021,0.4021,0.4021,0.4021,0
1994-10-13,0.3472,0.3472,0.3472,0.3472,5196
1994-10-14,0.4203,0.4203,0.4203,0.4203,204
1994-10-17,0.4203,0.4203,0.4203,0.4203,71604
1994-10-18,0.3655,0.4108,0.3655,0.4108,115404
1994-10-19,0.4021,0.4021,0.4021,0.4021,23604
1994-10-20,0.4021,0.4021,0.4021,0.4021,67404
1994-10-21,0.4108,0.4569,0.4021,0.4569,531204
1994-10-24,0.4569,0.4934,0.4386,0.4386,310404
1994-10-25,0.4664,0.4934,0.4386,0.4839,557004
1994-10-26,0.4934,0.4934,0.4752,0.4752,57804
1994-10-27,0.4934,0.4934,0.4569,0.4569,113196
1994-10-28,0.4934,0.4934,0.4752,0.4934,43596
1994-10-31,0.4934,0.4934,0.4934,0.4934,14796
1994-11-01,0.4934,0.4934,0.4569,0.4934,209196
1994-11-02,0.4934,0.4934,0.4569,0.4664,215604
1994-11-03,0.4664,0.4664,0.4664,0.4664,0
1994-11-04,0.4752,0.4934,0.4569,0.4934,338004
1994-11-07,0.4752,0.4752,0.4481,0.4569,206004
1994-11-08,0.4569,0.4664,0.4386,0.4525,110796
1994-11-09,0.4386,0.4664,0.4386,0.4386,30804
1994-11-10,0.4569,0.4569,0.4203,0.4481,151596
1994-11-11,0.4203,0.4481,0.4203,0.4291,103596
1994-11-14,0.4386,0.4481,0.4386,0.4481,19404
1994-11-15,0.4569,0.4569,0.4203,0.4569,38400
1994-11-16,0.4569,0.4569,0.4386,0.4569,41604
1994-11-17,0.4569,0.4569,0.4569,0.4569,204
1994-11-18,0.4481,0.4481,0.4203,0.4386,30804
1994-11-21,0.4203,0.4386,0.4203,0.4386,55596
1994-11-22,0.4386,0.4386,0.4108,0.4291,1353804
1994-11-23,0.4108,0.4386,0.4108,0.4386,1091400
1994-11-25,0.4021,0.4021,0.4021,0.4021,2004
1994-11-28,0.4386,0.4386,0.4386,0.4386,5196
1994-11-29,0.4386,0.4386,0.4108,0.4291,172800
1994-11-30,0.4291,0.4291,0.4291,0.4291,0
1994-12-01,0.4291,0.4291,0.4021,0.4021,29004
1994-12-02,0.4386,0.4386,0.3933,0.3933,60804
1994-12-05,0.3838,0.3838,0.3838,0.3838,14004
1994-12-06,0.3838,0.3838,0.3838,0.3838,0
1994-12-07,0.3655,0.3655,0.3655,0.3655,204
1994-12-08,0.3655,0.3655,0.3655,0.3655,6600
1994-12-09,0.3655,0.4203,0.3472,0.3838,288204
1994-12-12,0.3655,0.3838,0.3655,0.3838,86400
1994-12-13,0.3838,0.3838,0.3472,0.3472,60804
1994-12-14,0.3933,0.3933,0.3933,0.3933,4404
1994-12-15,0.3933,0.3933,0.3933,0.3933,9804
1994-12-16,0.3933,0.3933,0.3933,0.3933,0
1994-12-19,0.3290,0.3472,0.3012,0.3472,163404
1994-12-20,0.3107,0.3107,0.2376,0.2924,1608396
1994-12-21,0.3290,0.3290,0.2924,0.2924,269004
1994-12-22,0.3107,0.3107,0.3107,0.3107,5196
1994-12-23,0.3012,0.3195,0.2741,0.3195,158004
1994-12-27,0.3107,0.3290,0.3107,0.3290,21204
1994-12-28,0.3655,0.3655,0.3385,0.3567,156804
1994-12-29,0.3838,0.3838,0.3290,0.3429,273204
1994-12-30,0.3743,0.3743,0.3472,0.3655,318804
1995-01-03,0.3655,0.3655,0.3472,0.3472,60804
1995-01-04,0.3655,0.4021,0.3472,0.3838,1494600
1995-01-05,0.4021,0.4386,0.3655,0.4203,1219404
1995-01-06,0.4386,0.4569,0.4021,0.4386,981204
1995-01-09,0.4569,0.4752,0.4386,0.4386,819204
1995-01-10,0.4569,0.4569,0.4203,0.4203,371400
1995-01-11,0.4386,0.4481,0.4291,0.4386,88404
1995-01-12,0.4386,0.4481,0.4291,0.4481,141996
1995-01-13,0.4108,0.4569,0.4108,0.4108,19404
1995-01-16,0.4569,0.4569,0.4108,0.4386,232404
1995-01-17,0.4569,0.4569,0.4386,0.4569,45000
1995-01-18,0.4291,0.4569,0.4291,0.4569,110796
1995-01-19,0.4386,0.4752,0.4386,0.4752,81204
1995-01-20,0.4386,0.4752,0.4386,0.4481,60804
1995-01-23,0.4752,0.4752,0.4481,0.4569,163404
1995-01-24,0.4752,0.4752,0.4481,0.4481,23604
1995-01-25,0.4752,0.4752,0.4569,0.4752,29004
1995-01-26,0.4752,0.5300,0.4664,0.5300,225996
1995-01-27,0.5665,0.5848,0.5300,0.5578,585804
1995-01-30,0.5578,0.5578,0.4569,0.5029,982404
1995-01-31,0.5029,0.5029,0.4569,0.4934,474804
1995-02-01,0.5117,0.5300,0.4752,0.4934,232404
1995-02-02,0.5300,0.5300,0.4934,0.4934,122796
1995-02-03,0.5300,0.5300,0.4934,0.5300,179400
1995-02-06,0.4934,0.5300,0.4934,0.5029,156804
1995-02-07,0.4752,0.5117,0.4752,0.4934,57804
1995-02-08,0.5117,0.5117,0.4752,0.4934,73800
1995-02-09,0.4934,0.5117,0.4752,0.4752,50004
1995-02-10,0.5117,0.5117,0.4934,0.4934,16200
1995-02-13,0.5117,0.5117,0.4752,0.5117,384204
1995-02-14,0.5117,0.5117,0.5117,0.5117,9600
1995-02-15,0.5117,0.5117,0.4752,0.4934,83400
1995-02-16,0.4752,0.4934,0.4569,0.4664,237996
1995-02-17,0.4752,0.4752,0.4569,0.4569,745800
1995-02-21,0.4934,0.4934,0.4664,0.4934,244404
1995-02-22,0.4752,0.4934,0.4752,0.4839,393804
1995-02-23,0.4752,0.5117,0.4752,0.5117,163404
1995-02-24,0.5117,0.5117,0.4752,0.4752,16200
1995-02-27,0.5117,0.5117,0.4291,0.4386,6180396
1995-02-28,0.5117,0.5154,0.4569,0.5154,182400
1995-03-01,0.5117,0.5117,0.4569,0.4752,19200
1995-03-02,0.4934,0.5300,0.4934,0.5029,2942796
1995-03-03,0.5300,0.5300,0.4752,0.5117,265800
1995-03-06,0.5117,0.5117,0.4752,0.5117,132396
1995-03-07,0.5117,0.5300,0.5117,0.5117,19404
1995-03-08,0.5300,0.5300,0.4752,0.4934,77004
1995-03-09,0.5205,0.5205,0.4752,0.4752,30804
1995-03-10,0.5205,0.5205,0.4752,0.4839,132396
1995-03-13,0.4839,0.4839,0.4839,0.4839,0
1995-03-14,0.4752,0.5117,0.4752,0.4934,33204
1995-03-15,0.4839,0.5117,0.4752,0.4752,743604
1995-03-16,0.5117,0.5117,0.4752,0.4752,388404
1995-03-17,0.4752,0.5117,0.4752,0.4934,96204
1995-03-20,0.4752,0.4934,0.4569,0.4934,996396
1995-03-21,0.4839,0.4839,0.4569,0.4569,321996
